MachineID,MachineName,LineID,PlantID,MachineType,Manufacturer,MaxCapacity_UnitsPerHour,InstallationDate,Age_Years,LastMaintenanceDate,MaintenanceFrequency_Days,Status,Cost
P003-L2-M1,Industrial Robot #1,P003-L2,P003,Welding Robot,KUKA,517,2020-03-05,7,2026-05-18,30,Active,311103
P003-L2-M2,Assembly Machine #2,P003-L2,P003,Hydraulic Press,Fanuc,550,2022-07-21,7,2026-05-18,30,Active,187858
P003-L2-M3,CNC Lathe #3,P003-L2,P003,Industrial Robot,ABB,681,2019-06-27,3,2026-05-18,60,Active,155902
P003-L3-M1,Industrial Robot #1,P003-L3,P003,Assembly Machine,KUKA,687,2023-01-03,4,2026-05-18,180,Under Repair,253837
P003-L3-M2,CNC Lathe #2,P003-L3,P003,Welding Robot,KUKA,740,2021-03-30,4,2026-05-18,30,Under Repair,68930
P003-L3-M3,Welding Robot #3,P003-L3,P003,CNC Lathe,Fanuc,720,2024-05-16,2,2026-05-18,60,Active,156928
P003-L4-M1,Industrial Robot #1,P003-L4,P003,Assembly Machine,Fanuc,452,2019-10-16,5,2026-05-18,90,Under Repair,327174
P003-L4-M2,Welding Robot #2,P003-L4,P003,CNC Lathe,Siemens,304,2021-05-15,4,2026-05-18,180,Active,401904
P003-L4-M3,Welding Robot #3,P003-L4,P003,Hydraulic Press,Bosch,752,2024-05-28,1,2026-05-18,90,Active,144705
P003-L5-M1,Industrial Robot #1,P003-L5,P003,Assembly Machine,Fanuc,710,2020-08-07,1,2026-05-18,90,Under Repair,326536
P003-L5-M2,Industrial Robot #2,P003-L5,P003,Assembly Machine,Fanuc,353,2020-04-23,2,2026-05-18,60,Active,463199
P003-L5-M3,Hydraulic Press #3,P003-L5,P003,Assembly Machine,Fanuc,762,2022-12-09,7,2026-05-18,30,Active,74005
P004-L1-M1,Welding Robot #1,P004-L1,P004,Hydraulic Press,Siemens,754,2021-05-23,5,2026-05-18,180,Active,487393
P004-L1-M2,CNC Lathe #2,P004-L1,P004,CNC Lathe,ABB,567,2025-04-06,4,2026-05-18,90,Under Repair,177987
P004-L1-M3,CNC Lathe #3,P004-L1,P004,CNC Lathe,Fanuc,625,2025-02-20,6,2026-05-18,90,Active,353689
P004-L2-M1,Hydraulic Press #1,P004-L2,P004,Industrial Robot,Bosch,722,2021-02-28,7,2026-05-18,60,Active,313736
P004-L2-M2,Hydraulic Press #2,P004-L2,P004,Industrial Robot,ABB,693,2020-04-07,5,2026-05-18,180,Active,310986
P004-L2-M3,CNC Lathe #3,P004-L2,P004,Welding Robot,ABB,689,2024-12-17,6,2026-05-18,60,Under Repair,190544
P004-L3-M1,CNC Lathe #1,P004-L3,P004,Welding Robot,Fanuc,687,2023-03-18,7,2026-05-18,90,Active,197082
P004-L3-M2,CNC Lathe #2,P004-L3,P004,Assembly Machine,Fanuc,461,2021-05-16,2,2026-05-18,90,Under Repair,281392
P004-L3-M3,Industrial Robot #3,P004-L3,P004,Industrial Robot,ABB,531,2020-06-13,6,2026-05-18,90,Active,158511
P004-L4-M1,Industrial Robot #1,P004-L4,P004,CNC Lathe,KUKA,505,2024-10-24,5,2026-05-18,180,Active,237257
P004-L4-M2,Welding Robot #2,P004-L4,P004,Welding Robot,KUKA,785,2023-12-07,7,2026-05-18,90,Active,114644
P004-L4-M3,Welding Robot #3,P004-L4,P004,Hydraulic Press,KUKA,795,2022-09-05,4,2026-05-18,30,Active,286980
P004-L5-M1,Welding Robot #1,P004-L5,P004,Industrial Robot,KUKA,440,2021-04-04,6,2026-05-18,60,Active,163274
P004-L5-M2,CNC Lathe #2,P004-L5,P004,Welding Robot,Siemens,653,2022-07-25,2,2026-05-18,30,Active,106189
P004-L5-M3,Industrial Robot #3,P004-L5,P004,Hydraulic Press,KUKA,787,2026-01-08,5,2026-05-18,90,Active,110282
